Genome,Assignment_level,Phylum,Class,Order,Family,Genus,Species2
11861_6_55,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-
11861_6_58,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-
11861_6_61,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,-
11861_6_63,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,-
11861_6_65,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-
12718_7_10,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-
12718_7_13,Genus,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,-
12718_7_14,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-
12718_7_15,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-
12718_7_17,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-
12718_7_21,Family,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,NA,-
12718_7_23,Genus,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,-
12718_7_24,Genus,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,-
12718_7_29,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-
12718_7_37,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,-
12718_7_39,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-
12718_7_3,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,-
12718_7_41,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-
12718_7_46,Family,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,NA,-
12718_7_47,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-
12718_7_49,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,-
12718_7_50,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,-
12718_7_51,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,-
12718_7_56,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-
12718_7_59,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-
12718_7_70,Genus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-
12718_7_72,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-
12718_7_73,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-
12718_7_7,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,-
12718_7_81,Family,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,NA,-
12718_7_84,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-
12718_7_87,Genus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-
12718_7_89,Family,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,NA,-
12718_7_92,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-
12718_7_94,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-
12718_7_9,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-
13154_4_43,Genus,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,-
13414_6_10,Family,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,NA,-
13414_6_12,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,-
13414_6_14,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-
13414_6_15,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-
13414_6_17,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,-
13414_6_20,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-
13414_6_24,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-
13414_6_2,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-
13414_6_32,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-
13414_6_33,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-
13414_6_34,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-
13414_6_37,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-
13414_6_39,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-
13414_6_3,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-
13414_6_41,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-
13414_6_43,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-
13414_6_44,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium,-
13414_6_47,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium,-
13414_6_49,Class,Firmicutes,Bacilli,NA,NA,NA,-
