Average ER,MetaT k12,MetaT k13,DeepMicrobes,Centrifuge,CLARK,CLARK-S,Kraken,Kraken 2,BLAST-MEGAN,Diamond-MEGAN,Kaiju
MOCK01,0.00476,0.00465,0.00608,0.00441,0.00450,0.00436,0.00477,0.00455,0.00803,0.00411,0.00558
MOCK02,0.00743,0.00726,0.00736,0.00895,0.00380,0.00735,0.00501,0.00496,0.01661,0.00393,0.00987
MOCK03,0.04184,0.02941,0.05227,0.04294,0.02003,0.01888,0.03318,0.02988,0.05217,0.02776,0.03574
MOCK04,0.02787,0.02466,0.02805,0.01848,0.01599,0.01430,0.02330,0.02143,0.02988,0.02629,0.02210
MOCK05,0.01118,0.00597,0.01219,0.00990,0.01266,0.01374,0.01322,0.01403,0.01971,0.00982,0.00503
MOCK06,0.00245,0.00428,0.00832,0.00370,0.00615,0.00592,0.00808,0.00717,0.00779,0.00253,0.00845
MOCK07,0.00671,0.00607,0.00651,0.02247,0.00730,0.00824,0.01798,0.00983,0.01816,0.00564,0.00967
MOCK08,0.01425,0.00751,0.01188,0.01241,0.02058,0.02042,0.02166,0.02332,0.02520,0.02079,0.00755
MOCK09,0.00800,0.00640,0.01322,0.00943,0.01354,0.01389,0.01683,0.01603,0.01959,0.01943,0.01411
MOCK10,0.00925,0.02002,0.01334,0.00446,0.01792,0.01820,0.02263,0.02362,0.04193,0.00438,0.03529
