genus,Mock01,Mock02,Mock03,Mock04,Mock05,Mock06,Mock07,Mock08,Mock09,Mock10
Achromobacter,32282,40955,377625,176811,338885,170232,90293,208997,41923,11713
Acidaminococcus,9,10,4,21,5,8,55,16,2,2
Acinetobacter,18628,10019,30878,15757,6306,684,540,3307,186676,7643
Actinomyces,2831.0103,597,7732,251539,40196,2360,128291,4387,28550,23663
Adlercreutzia,14,10,27,8,6,7,34,16,11,5
Aeromonas,103,13,12,28,16,7,62,58,19,1
Akkermansia,20,24,35,36,21,10,64,75,40,26
Alistipes,212053,387966,318813,1249197,293831,59182,218862,68518,405802,76331
Anaerococcus,3415.5489,397,939,483,1630,2473,552,607,1612,798
Anaerofustis,111,101,200,50,345,79,505,77,179,477
Anaeromassilibacillus,45,52,39,77,75,46,146,64,38,20
Anaerosporobacter,209,208,423,130,238,170,125,155,188,132
Anaerostipes,12,33,9,23,8,8,1,8,7,4
Anaerotignum,66,74,76,417,63,20,27,7,7,8
Anaerotruncus,137,142,156,144,143,170,506,109,88,61
Atopobium,911,372,230,5,95,1,59,10,12,392
Azospirillum,76,73,54,109,45,41,95,47,96,32
Bacillus,16845,49990,17891,14097,379310,32804,21287,15564,25487,24977
Bacteroides,560392,240252,1248957,1207655,788634,284705,354856,900608,311003,482623
Barnesiella,21058,152242,9157,18008,88381,491584,36938,30337,17094,5489
Bifidobacterium,142781,140025,562269,255520,247570,545887,1672035,700247,765173,739245
Blastococcus,3,4,4,9,4,2,24,14,12,17
Blautia,1128514,485050,305086,1972586,999595,657111,335071,299756,450927,805961
Brachyspira,102,163,380,157,314,243,306,144,144,308
Brevibacterium,3,12,28,12,8,6,50,52,12,23
Butyricicoccus,99,162,130,311,148,155,347,177,762,77
Butyricimonas,21275,250965,1288,88162,10697,21051,5109,15498,8840,122813
Butyrivibrio,1416,2619,1113,3032,1522,2071,1431,1541,912,1310
Campylobacter,276,277,385,182,519,326,380,233,230,223
Catenibacterium,164,467,390,345,392,263,292,224,216,144
Cellulomonas,3,5,6,9,1,3,28,17,19,26
Citrobacter,29935,33411,888,3204,3905,11729,1691,8326,4960,3913
Cloacibacillus,87,61,74,290,68,18,182,348,45,183
Clostridium,2130446.0103,838995,1706636,1343469,1175991,3203243,881938,1018063,1382092,933654
Collinsella,70196,275459,695444,151989,70353,432089,129244,53146,322553,93233
Coprobacillus,586,269,345,898,739,288,1268,368,499,674
Coprococcus,1395,3099,709,1940,1322,917,840,463,2035,1135
Corynebacterium,3253,33599,8722,1585,7346,4673,32710,48903,48703,3799
Cryptobacterium,0,6,3,6,7,2,7,0,2,4
Desulfovibrio,1045,680,773,1259,797,695,2565,2237,2344,1160
Dialister,1080,1177,4598,1750,789,656,1542,601,1322,1426
Dorea,128898,184217,60171,54593,114003,84855,247452,132680,295648,78872
Dysgonomonas,332,411,547,775,667,515,373,305,275,285
Edwardsiella,234,117,35,33,51,28,53,220,146,36
Eggerthella,770,381,350,295,219,286,934,608,394,176
Enterobacter,817404,281004,12173,8566,23081,28196,106373,36154,39353,129258
Enterococcus,1249389,3256007,420217,348047,2010637,813147,640487,991425,666980,3213295
Eubacterium,67887,95845,53493,52946,44942,31370,59844,165640,14272,9349
Exiguobacterium,21504,35807,48618,35069,49491,41141,109724,105899,424990,141876
Faecalibacterium,11639,22976,23650,123051,61295,39109,717310,11745,21990,2822
Finegoldia,51,129,483,345,412,225,130,1020,2160,126
Flavobacterium,154,226,229,109,96,73,86,85,71,302
Franconibacter,28,2,0,4,1,1,5,3,2,0
Fusobacterium,50393,22913,42607,27192,35971,75247,19072,22401,24134,25399
Garciella,54,117,264,212,173,81,62,57,87,81
Gemella,7,52,82,30,51,46,45,28,20,22
Gemmiger,34,39,17,29,41,30,69,49,9,20
Granulicatella,159,63,62,47,81,42,507,77,82,51
