Taxon,mock_01,mock_02,mock_03,mock_04,mock_05,mock_06,mock_07,mock_08,mock_09,mock_10
11861_6_55,0.0005,0.0005,0.0009,0.0011,0.0003,0.0015,0.0002,0.0002,0.0002,0.0001
11861_6_58,0.0015,0.0001,0.0008,0.0001,0.004,0.0006,0.0035,0.0007,0.0027,0.0067
11861_6_61,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0
11861_6_63,0.0051,0.0001,0.0005,0.0007,0.0011,0.0003,0.0007,0.0002,0.0244,0.0005
11861_6_65,0,0,0,0,0,0,0,0,0,0
12718_7_10,0,0,0,0,0,0,0,0,0,0
12718_7_13,0.0023,0.0001,0.0009,0.0002,0.0034,0.0005,0.0004,0.1151,0.0015,0.0001
12718_7_14,0.0008,0.0002,0.0009,0.0007,0.0002,0.0024,0.002,0.0009,0.0012,0.0003
12718_7_15,0.0222,0.0314,0.0026,0.0048,0.0022,0.0135,0.028,0.0395,0.0007,0.0057
12718_7_17,0.0169,0.0009,0.001,0.0035,0.0005,0.0022,0.1415,0.0086,0.0068,0.0082
12718_7_21,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001
12718_7_23,0.0009,0.0002,0.0014,0.0003,0.0012,0.0008,0.0008,0.0347,0.0032,0.0001
12718_7_24,0.0003,0.0027,0.0004,0.0004,0.0005,0.0001,0.0002,0.0001,0.0001,0.0001
12718_7_29,0,0,0,0,0,0,0,0,0,0
12718_7_3,0,0,0,0,0,0,0,0,0,0
12718_7_37,0.0008,0.008,0,0.0033,0.0004,0.0007,0.0001,0.0006,0.0002,0.004
12718_7_39,0.0002,0,0.0005,0.0006,0.0001,0.0002,0.0001,0.0001,0.0005,0.0001
12718_7_41,0,0,0,0.0001,0,0,0,0,0,0
12718_7_46,0.0005,0.0007,0,0.0001,0.0001,0.0001,0.0004,0,0.0055,0.0008
12718_7_47,0,0,0,0,0,0,0,0,0,0
12718_7_49,0.0003,0.0005,0,0,0,0.0001,0.0002,0,0,0.0003
12718_7_50,0.0005,0,0,0,0,0,0,0,0,0
12718_7_51,0,0,0,0,0,0,0,0,0,0
12718_7_56,0.0104,0.0008,0.0016,0.0063,0.0028,0.0004,0.0032,0.0079,0.004,0.0005
12718_7_59,0.0059,0.0025,0.0013,0.0001,0.0005,0.0138,0.0011,0.0027,0.0012,0.005
12718_7_7,0.0019,0.0004,0,0,0,0,0.0002,0.0001,0.0001,0.0002
12718_7_70,0.002,0.0054,0.0018,0.0172,0.0081,0.0004,0.0188,0.0032,0.0004,0.0001
12718_7_72,0,0,0,0,0,0,0.0001,0,0,0
12718_7_73,0,0,0,0,0,0,0,0,0,0
12718_7_81,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0,0.0001
12718_7_84,0,0,0.0001,0.0002,0.0001,0.0001,0.0021,0,0.0001,0
12718_7_87,0.0011,0.0003,0.0019,0.0099,0.0013,0,0.0102,0.0113,0.0001,0.0001
12718_7_89,0,0,0,0,0,0,0,0,0,0
12718_7_9,0.0002,0.0011,0.0012,0.0001,0.0003,0.0003,0.0001,0.0006,0.0001,0.0002
12718_7_92,0,0,0,0,0,0,0,0,0,0
12718_7_94,0,0,0,0.0001,0,0,0,0,0,0
13154_4_43,0.0003,0.0007,0.0021,0.002,0.0037,0.0114,0.0219,0.0049,0.0026,0.0049
13414_6_10,0,0,0,0,0,0,0,0,0,0
13414_6_12,0,0,0,0,0,0,0,0,0,0
13414_6_14,0,0,0,0,0,0,0,0,0,0
13414_6_15,0.0001,0,0,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
13414_6_17,0,0,0,0,0,0,0,0,0,0
13414_6_2,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0
13414_6_20,0.0001,0.0002,0.0002,0.0001,0.0003,0.0012,0.0029,0.0003,0.0006,0.003
13414_6_24,0.0004,0,0.0009,0.0003,0.0001,0,0.0001,0,0.0002,0
13414_6_3,0.0001,0.0001,0.0001,0.0004,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
13414_6_32,0.0002,0.0006,0.0003,0.0054,0.0078,0.0137,0.0007,0.0007,0.0013,0.0002
13414_6_33,0,0,0,0.0001,0.0001,0,0.0001,0,0,0
13414_6_34,0,0,0,0,0,0,0,0,0,0
13414_6_37,0,0.0001,0.0001,0.0001,0,0,0.0001,0,0,0
13414_6_39,0,0.0001,0.0003,0,0.0001,0,0.0001,0.0001,0,0
13414_6_41,0.0004,0.0033,0.0001,0.0004,0.0038,0,0.0006,0.0054,0.0063,0.0001
13414_6_43,0,0,0.0001,0.0001,0,0,0.0001,0,0,0
13414_6_44,0,0,0,0,0,0,0,0,0,0
13414_6_47,0,0,0,0,0,0,0,0,0,0
13414_6_49,0.0001,0,0,0,0.0001,0,0,0,0,0.0001
13414_6_50,0.001,0.0095,0.0017,0.001,0.0036,0.0026,0.0016,0.0025,0.0041,0.0031
13414_6_53,0.0008,0.0001,0.0009,0.0011,0.0015,0.0008,0.0047,0.0002,0.001,0.0001
13414_6_58,0,0,0,0,0.0001,0,0,0,0,0
13414_6_60,0,0,0,0,0,0,0,0,0,0
13414_6_66,0.0037,0.0001,0.001,0.0006,0.0002,0.0002,0.0001,0.0005,0.0007,0.0012
13414_6_67,0,0,0,0,0,0,0,0,0,0
13414_6_68,0.0001,0.0001,0,0.0002,0.0001,0,0.0001,0,0,0.0001
13414_6_70,0,0,0,0.0001,0,0,0,0,0,0
13414_6_73,0.1796,0.0382,0.0298,0.0317,0.0408,0.1892,0.0066,0.0236,0.0247,0.027
13470_2_58,0,0,0,0,0,0,0,0,0,0
13470_2_62,0,0,0.0001,0.0001,0.0001,0,0,0.0001,0,0
13470_2_64,0,0,0,0,0,0,0,0,0,0
13470_2_65,0,0,0,0,0,0,0,0,0,0
13470_2_67,0.0005,0,0.0014,0.0001,0.0001,0.0001,0.0006,0.0001,0.0015,0.0012
13470_2_71,0,0,0,0,0,0,0,0,0,0
13470_2_73,0.0002,0.0002,0.027,0.0078,0.0016,0,0.0001,0.0001,0.0004,0.0001
13470_2_75,0.0003,0.0006,0.0006,0.0008,0.0115,0.0005,0.0075,0.0002,0.0108,0.0001
13470_2_77,0.0004,0.0011,0.0018,0.0218,0.0258,0.0006,0.0004,0.0025,0.0031,0.0301
13470_2_78,0.0021,0.0026,0.0045,0.0071,0.0011,0.0088,0.0004,0.0003,0.0005,0.0003
13470_2_81,0.0002,0.0002,0.0003,0.0004,0.0004,0.0002,0.0003,0.0014,0.001,0.0009
13470_2_91,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0002,0.0001,0.0001
13470_2_92,0,0,0,0,0,0,0,0,0,0
13470_2_93,0,0,0,0,0,0,0,0,0,0
14207_6_11,0,0,0,0,0,0,0,0,0,0
14207_6_12,0.0007,0.0001,0.044,0.0009,0.0032,0.0006,0,0.0023,0.0013,0.0001
14207_6_13,0,0,0.0002,0,0,0,0,0,0,0
14207_6_2,0,0,0,0,0,0,0,0,0,0
14207_6_3,0,0,0,0,0,0,0,0,0,0
14207_6_9,0,0,0,0,0,0,0,0,0,0
14207_7_1,0,0.0001,0,0,0,0,0,0,0,0
14207_7_10,0,0,0,0,0,0,0,0,0,0
14207_7_18,0,0,0,0,0,0,0,0,0,0
14207_7_23,0,0,0,0,0,0,0,0,0,0
14207_7_25,0,0,0,0,0.0002,0.0001,0.0001,0,0.0001,0
14207_7_27,0.0003,0.0002,0.0001,0.0003,0.0002,0.0377,0.0039,0.0002,0.0014,0.0001
14207_7_28,0,0,0,0,0,0,0,0,0,0
14207_7_30,0.002,0.0005,0.0094,0.001,0.0018,0.0056,0.0019,0.0325,0.0019,0.0029
14207_7_32,0,0,0,0,0,0,0,0,0,0
14207_7_37,0.0008,0.0021,0.0008,0.0004,0.0022,0.0015,0.0006,0.0043,0.0026,0.0014
14207_7_42,0,0,0,0,0,0,0,0,0,0
14207_7_43,0,0,0,0,0,0,0,0.0001,0,0
14207_7_50,0,0,0,0,0,0,0,0,0,0
14207_7_52,0,0,0,0,0,0,0,0,0,0
14207_7_54,0,0,0,0,0,0,0,0.0001,0,0
14207_7_56,0,0,0,0,0,0,0,0,0,0
14207_7_57,0.0045,0.0001,0.0012,0.0005,0.0013,0.0003,0.0002,0.0001,0.0005,0.0004
14207_7_59,0,0,0,0,0,0,0,0,0,0
14207_7_64,0,0,0,0,0,0,0,0,0,0
14207_7_70,0.006,0.0018,0.0043,0.103,0.0214,0.0034,0.02,0.0026,0.0089,0.0032
14207_7_75,0.0005,0.0208,0.0205,0.0007,0.0033,0.0008,0.0008,0.0108,0.0003,0.0016
